,date,TICKER,variance,sample-size
242,2022-01-25 11:00:00,AAL,1.684409935821629e-05,5
243,2022-01-25 12:00:00,AAL,2.3386741295097535e-06,12
244,2022-01-25 13:00:00,AAL,3.2058689165125083e-06,12
245,2022-01-25 14:00:00,AAL,3.721987394857716e-05,12
246,2022-01-25 15:00:00,AAL,3.798666853414246e-05,12
247,2022-01-25 16:00:00,AAL,2.140442858681423e-05,12
248,2022-01-25 17:00:00,AAL,7.772196050455414e-06,12
249,2022-01-25 18:00:00,AAL,5.028985595142784e-06,12
250,2022-01-25 19:00:00,AAL,3.1537000703113172e-06,12
251,2022-01-25 20:00:00,AAL,1.0073385698921017e-05,12
252,2022-01-25 21:00:00,AAL,3.395741715936928e-06,12
253,2022-01-25 22:00:00,AAL,2.425467099656269e-06,11
254,2022-01-25 23:00:00,AAL,2.248254425184621e-06,12
255,2022-01-26 00:00:00,AAL,9.054855863530049e-07,11
256,2022-01-26 09:00:00,AAL,1.318736330891892e-05,11
257,2022-01-26 10:00:00,AAL,3.890239865110382e-06,5
258,2022-01-26 11:00:00,AAL,8.748137683310648e-06,9
259,2022-01-26 12:00:00,AAL,3.795373667261538e-06,12
260,2022-01-26 13:00:00,AAL,1.7905017843386446e-06,12
261,2022-01-26 14:00:00,AAL,2.1412816758767286e-05,12
262,2022-01-26 15:00:00,AAL,1.154990033707219e-05,12
263,2022-01-26 16:00:00,AAL,6.943288312491884e-06,12
264,2022-01-26 17:00:00,AAL,4.955173422994558e-06,12
265,2022-01-26 18:00:00,AAL,2.2760870111600106e-06,12
266,2022-01-26 19:00:00,AAL,4.966902728232882e-05,12
267,2022-01-26 20:00:00,AAL,1.9921002890258855e-05,12
268,2022-01-26 21:00:00,AAL,1.0214297726224937e-06,12
269,2022-01-26 22:00:00,AAL,2.114118303785045e-06,12
270,2022-01-26 23:00:00,AAL,2.4163271230996906e-06,12
271,2022-01-27 00:00:00,AAL,3.9561133704734307e-07,12
272,2022-01-27 09:00:00,AAL,1.6851713038589292e-05,8
273,2022-01-27 10:00:00,AAL,4.747772328175515e-06,6
274,2022-01-27 11:00:00,AAL,7.504521270501109e-07,3
275,2022-01-27 12:00:00,AAL,3.6785841348479122e-06,12
276,2022-01-27 13:00:00,AAL,1.060775707311945e-06,12
277,2022-01-27 14:00:00,AAL,3.053782486208059e-05,12
278,2022-01-27 15:00:00,AAL,1.4852005152984042e-05,12
279,2022-01-27 16:00:00,AAL,1.5255901412063643e-05,12
280,2022-01-27 17:00:00,AAL,3.7320144561133215e-06,12
281,2022-01-27 18:00:00,AAL,7.119591433067928e-06,12
282,2022-01-27 19:00:00,AAL,1.6487946005071113e-05,12
